nyuCLA_000.png,0.2311,0.3194,0.1300,0.1839
nyuCLA_030.png,0.1850,0.3567,0.0987,0.1885
nyuCLA_060.png,0.2639,0.3272,0.1510,0.1917
nyuCLA_090.png,0.2312,0.3776,0.1293,0.2103
nyuCLA_120.png,0.2723,0.3728,0.1572,0.2156
nyuCLA_150.png,0.2682,0.3298,0.1487,0.1814
nyuCLA_180.png,0.4649,0.5047,0.2442,0.2648
nyuCLA_210.png,0.1684,0.1876,0.0866,0.0963
nyuCLA_240.png,0.2325,0.2813,0.1307,0.1574
nyuCLA_270.png,0.2352,0.3868,0.1304,0.2128
nyuCLA_300.png,0.1812,0.1871,0.0991,0.1021
nyuCLA_330.png,0.1889,0.2677,0.1041,0.1493
nyuCLA_360.png,0.1433,0.1827,0.0764,0.0969
nyuCLA_390.png,0.2814,0.2797,0.1632,0.1625
nyuCLA_420.png,0.2711,0.3045,0.1473,0.1646
nyuCLA_450.png,0.3701,0.2944,0.1986,0.1622
nyuCLA_480.png,0.1831,0.2041,0.0987,0.1095
nyuCLA_510.png,0.2608,0.3056,0.1488,0.1736
nyuCLA_540.png,0.1572,0.1808,0.0807,0.0926
nyuCLA_570.png,0.3434,0.3611,0.2073,0.2181
nyuCLA_600.png,0.3254,0.3323,0.1923,0.1991
nyuCLA_630.png,0.2131,0.4051,0.1111,0.2098
nyuCLA_660.png,0.3724,0.3718,0.2283,0.2284
nyuCLA_690.png,0.2991,0.3883,0.1746,0.2262
nyuCLA_720.png,0.2729,0.3240,0.1435,0.1696
nyuCLA_750.png,0.3693,0.4174,0.2210,0.2614
nyuCLA_780.png,0.1936,0.2659,0.1071,0.1486
nyuCLA_810.png,0.1926,0.2831,0.1031,0.1502
nyuCLA_840.png,0.1775,0.2715,0.0965,0.1468
nyuCLA_870.png,0.2539,0.2748,0.1451,0.1569
